0|1|2|3|4|5|6|7|8
Днинедели|гр. 24100направление 09.03.03|гр. 24100направление 09.03.03|гр. 24200направление 09.03.03|гр. 24200направление 09.03.03|гр. 24300направление 09.03.03|гр. 24300направление 09.03.03|гр. 24400направление 09.03.03|гр. 24400направление 09.03.03
Понедельник04.04|8.15|Математика практика доц. Батурина Р.В. (206)|9.55||15.30||15.30|
Понедельник04.04|9.55|Иностранный язык практикадоц. Мочелевская Е.В. (202)|12.10|Математика практика доц. Батурина Р.В. (206)|17.05|Администрирование компьютерных систем лекция доц. Мисбахов Р.Ш. (210)|17.30|Разработка программных приложений лекция доц. Сайфудинов И.Р. (212)
Понедельник04.04|12.10||13.50|Иностранный язык практикадоц. Мочелевская Е.В. (202)|18.40|Администрирование компьютерных систем лаб.раб. доц. Мисбахов Р.Ш. (210)|19.05|Разработка программных приложений лаб.раб. доц. Сайфудинов И.Р. (212)
Вторник05.04||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек|13.50||8.15|
Вторник05.04||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек|15.30|1С: Предприятие лаб.раб. доц. Закиров Р.Т. (212)|9.55|
Вторник05.04||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек|17.05|1С: Предприятие практика доц. Закиров Р.Т. (212)|12.10|ЗАЧЕТ Управление проектамидоц. Серикова Н.В. (317)
Среда06.04||||||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Среда06.04|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Среда06.04|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Четверг07.04||День для консультаций по самостоятельной работе, посещения библиотек|8.15|Правоведение лекция доц. Минкин М.Р. (115)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Четверг07.04||День для консультаций по самостоятельной работе, посещения библиотек|9.55|Правоведение практика доц. Минкин М.Р. (115)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Четверг07.04||День для консультаций по самостоятельной работе, посещения библиотек|12.10|Численные методы лекцияст.пр. Шамсиярова Э.Д. (212)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Четверг07.04||День для консультаций по самостоятельной работе, посещения библиотек|13.50|Иностранный язык практикадоц. Мочелевская Е.В. (202)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Пятница08.04|8.15|Математика лекция доц. Батурина Р.В. (206)|||12.10|||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Пятница08.04|9.55|Математика практика доц. Батурина Р.В. (206)|17.30|Технологии программирования на платформе Java лекция доц. Сайфудинов И.Р. (212)|13.50|Личностное развитие лекцияст.пр. Ахтямова З.А. (105)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Пятница08.04|||19.05|Технологии программирования на платформе Java лаб.раб. доц. Сайфудинов И.Р. (212)|15.30|Экономика предприятий и цифровое производство практика доц. Кабитова Е.В. (204)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Суббота09.04|||||8.15|Вычислительные системы, сети и телекоммуникации лекция доц. Мисбахов Р.Ш. (212)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Суббота09.04|13.50|Тотальный диктант-2022 (206)|13.50|Тотальный диктант-2022 (206)|9.55|Вычислительные системы, сети и телекоммуникации лаб.раб. доц. Мисбахов Р.Ш. (212)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
