0|1|2|3|4|5|6|7|8
Днинедели|гр. 24105направление 20.03.01|гр. 24105направление 20.03.01|гр. 24205направление 20.03.01|гр. 24205направление 20.03.01|гр. 24305направление 20.03.01|гр. 24305направление 20.03.01|гр. 24405направление 20.03.01|гр. 24405направление 20.03.01
Понедельник04.04.|8.15|Иностранный язык практика доц. Мочелевская Е.В. (105)|9.55|||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Понедельник04.04.|9.55|Математика практика доц. Батурина Р.В. (105)|12.10|Компьютерные технологии и математическое моделирование лаб.раб. ст.пр. Шамсиярова Э.Д. (210)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Понедельник04.04.|12.10||13.50|Личностное развитие лекцияст.пр. Ахтямова З.А. (201)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Вторник05.04||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек||Производственная практика - практика по получению профессиональных умений и опыта профессиональной деятельности (Ростехнадзор) доц. Головко М.В.||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Вторник05.04||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек|9.00|Производственная практика - практика по получению профессиональных умений и опыта профессиональной деятельности (Ростехнадзор) доц. Головко М.В.||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Вторник05.04||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек||Производственная практика - практика по получению профессиональных умений и опыта профессиональной деятельности (Ростехнадзор) доц. Головко М.В.||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Среда06.04||||||||
Среда06.04|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)|17.30|ЗАЧЕТ Система управления охраной труда ст.пр. Андреева А.В. (213)
Среда06.04|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)||
Четверг07.04|12.10|Иностранный язык практика доц. Мочелевская Е.В. (105)|8.15|Иностранный язык практика доц. Мочелевская Е.В. (202)||||
Четверг07.04|13.50|Математика лекция доц. Батурина Р.В. (105)|9.55|Разработка нормативно-технической документации лекция доц. Головко М.В. (213)|15.30|Промышленная санитария и гигиена труда лекция доц. Рюмин Е.В. (105)|13.50|Диагностическое тестирование доц. Головко М.В. (210) ЯВКА ОБЯЗАТЕЛЬНА!!!
Четверг07.04|15.30|Математика практика доц. Батурина Р.В. (105)|12.10|Разработка нормативно-технической документации практика доц. Головко М.В. (213)|17.05|Промышленная санитария и гигиена труда практика доц. Рюмин Е.В. (105)||
Пятница08.04|8.15||8.15||13.50|||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Пятница08.04|9.55|Физика лаб.раб. ст.пр. Шамсутдинов Р.С. (105)|9.55||15.30|||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Пятница08.04|12.10|Физика практика ст.пр. Шамсутдинов Р.С. (105)|12.10|Личностное развитие практикаст.пр. Ахтямова З.А. (201)|17.30|Пожаровзрывозащита практикаст.пр. Андреева А.В. (213)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Пятница08.04|13.50|Личностное развитие лекцияст.пр. Ахтямова З.А. (105)|13.50|Экономика предприятий и цифровое производство лекция доц. Кабитова Е.В. (204)|19.05|Пожаровзрывозащита лаб.раб.ст.пр. Андреева А.В. (213)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Суббота09.04|13.50|Тотальный диктант-2022 (206)|13.50|Тотальный диктант-2022 (206)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
