0|1|2|3|4|5|6
Днинедели|гр. 24207направление 38.03.01|гр. 24207направление 38.03.01|гр. 24307направление 38.03.01|гр. 24307направление 38.03.01|гр. 24407направление 38.03.01|гр. 24407направление 38.03.01
Понедельник11.04||||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ|9.55|
Понедельник11.04|12.10|Управление персоналом лекция доц. Зимина Г.А. (311)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ|12.10|ЭКЗАМЕН Документирование управленческой деятельности доц. Балова Н.А. (309)
Понедельник11.04|13.50|Методы оптимальных решений лекция ст.пр Михайлова О.П. (203)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ|13.50|
Вторник12.04|8.15||8.15|Планирование на предприятии практика доц. Серикова Н.В. (317)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Вторник12.04|9.55|Иностранный язык практика доц. Мочелевская Е.В. (202)|9.55|Эконометрика лекция доц. Серикова Н.В. (317)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Вторник12.04|12.10|Управление персоналом практика доц. Зимина Г.А. (311)|12.10|||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Среда13.04||||||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Среда13.04|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Среда13.04|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Четверг14.04|8.15||8.15|Управление затратами на предприятии практика доц. Балова Н.А. (309)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Четверг14.04|9.55||9.55|Экономика качества лекция доц. Балова Н.А. (309)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Четверг14.04|12.10|Экономика труда практика доц. Балова Н.А. (309)|12.10|Организация производства практика доц. Серикова Н.В. (317)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Четверг14.04|13.50|Экономика природопользования лекция доц. Зимина Г.А. (311)|13.50|Инновационный менеджмент лекция доц. Серикова Н.В. (317)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Пятница15.04|8.15|Экономика природопользования практика доц. Зимина Г.А. (311)||||
Пятница15.04|9.55|Информационные технологии в экономике лекцияст.пр. Михайлова О.П. (204)|12.10||9.55|ЭКЗАМЕН Управление рисками доц. Серикова Н.В. (317)
Пятница15.04|||13.50|Методы проведения экономических исследований практикадоц. Кабитова Е.В. (204)||
Пятница15.04|||15.30|Социально-экономическое прогнозирование практикадоц. Кабитова Е.В. (204)||
Суббота16.04||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ||
Суббота16.04||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ|9.55|Диагностическое тестирование доц. Серикова Н.В. (212) ЯВКА ОБЯЗАТЕЛЬНА!!!
