0|1|2|3|4|5|6|7|8
Днинедели|гр. 24100направление 09.03.03|гр. 24100направление 09.03.03|гр. 24200направление 09.03.03|гр. 24200направление 09.03.03|гр. 24300направление 09.03.03|гр. 24300направление 09.03.03|гр. 24400направление 09.03.03|гр. 24400направление 09.03.03
Понедельник11.04|15.30|Физика лаб.раб ст.пр. Шамсутдинов Р.С. (209)||||||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Понедельник11.04|17.30|Программирование на языках высокого уровня лекция доц. Сайфудинов И.Р. (212)|17.05|Операционные системы лекция доц. Мисбахов Р.Ш. (208)|12.10|Информационные системы в финансах, логистике и инвестиционном анализе лаб.раб. ст.пр. Михайлова О.П. (212)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Понедельник11.04|19.00|Программирование на языках высокого уровня лекция доц. Сайфудинов И.Р. (212)|18.40|Операционные системы лаб.раб. доц. Мисбахов Р.Ш. (208)|13.50|Экономика предприятий и цифровое производство практика доц. Кабитова Е.В. (204)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Вторник12.04|8.15|Философия лекция доц. Ильин А.Н. (105)||День для консультаций по самостоятельной работе, посещения библиотек|12.10|||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Вторник12.04|9.55|Философия лекция доц. Ильин А.Н. (105)||День для консультаций по самостоятельной работе, посещения библиотек|13.50|||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Вторник12.04|12.10|Физика лекция ст.пр. Шамсутдинов Р.С. (105)||День для консультаций по самостоятельной работе, посещения библиотек|15.30|1С: Предприятие лаб.раб. доц. Закиров Р.Т. (212)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Вторник12.04||||День для консультаций по самостоятельной работе, посещения библиотек|17.05|1С: Предприятие практика доц. Закиров Р.Т. (212)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Среда13.04|8.15|Математика практика доц. Батурина Р.В. (203)|8.15|Иностранный язык практикадоц. Мочелевская Е.В. (202)|8.15|||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Среда13.04|9.55|Иностранный язык практика доц. Мочелевская Е.В. (202)|9.55|Численные методы лаб.раб.ст.пр. Шамсиярова Э.Д. (212)|9.55|Личностное развитие практикаст.пр. Ахтямова З.А. (203)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Среда13.04|||12.10|Математика лекция доц. Батурина Р.В. (203)|12.10|Базы данных лаб.раб. ст.пр. Михайлова О.П. (212)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Четверг14.04||||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Четверг14.04|12.10|Математика лекция доц. Батурина Р.В. (203)||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Четверг14.04|13.50|Математика практика доц. Батурина Р.В. (203)||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Пятница15.04||||||||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Пятница15.04|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|17.30|Проектирование информационных систем лекция доц. Сайфудинов И.Р. (212)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Пятница15.04|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|19.05|Проектирование информационных систем лаб.раб. доц. Сайфудинов И.Р. (212)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Суббота16.04||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек|8.15|Администрирование компьютерных систем лекция доц. Мисбахов Р.Ш. (208)|8.15|
Суббота16.04||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек|9.55|Администрирование компьютерных систем лаб.раб. доц. Мисбахов Р.Ш. (208)|9.55|ЭКЗАМЕН Электронный бизнесдоц. Сунгатов И.З. (210)
Суббота16.04||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек|||12.10|
